,ID,Phase,Mode,Runtime,Elapsed_Time
31,b0c07f7f-688a-4bee-a252-b6cf8f332fdf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|23|20|15|14|18|21|22|17,fast,0.115,0.115
32,8007b1b8-a0bc-4a26-bfaa-d74d40ade44b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|23|16|18|22|21|20|14|17,fast,0.113,0.113
33,72ba59a7-3183-4e75-92b3-db39d4ca294b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|20|16|14|18|21|15|17|22|19,fast,0.113,0.113
34,f7a2de76-0035-47b5-b9da-09b9dfcf89b1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|14|19|21|20|15|22|23|16,fast,0.115,0.115
35,334ae8b9-8487-4bbe-ba6f-697d6f30e7ca,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|15|20|17|14|21|16|23|19,fast,0.116,0.116
36,338c8ab6-294d-43ab-aa90-67d1983113be,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|18|15|22|23|20|16|14|17,fast,0.113,0.113
37,fc465c01-6101-42e1-ac76-53484a0caafb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|16|19|20|23|18|15|17|14,fast,0.113,0.113
38,48339e5d-8e9a-46dc-8d3a-57c4a2fd6298,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|23|19|18|16|20|21|17|22,fast,0.113,0.113
39,8ad42fce-d133-42ad-86de-849d7dde4bd8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|15|20|14|17|16|23|19|18,fast,0.113,0.113
40,9ec17198-72bb-441b-847f-eea7a1e13434,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|19|17|16|21|18|15|23|20,fast,0.114,0.114
41,1b8a9842-bd29-4379-be66-78d28aea6ffb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|18|20|14|22|17|23|21|19,fast,0.114,0.114
42,7771d43b-918d-466f-9583-819b559877e1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|18|19|15|20|17|23|22|21,fast,0.114,0.114
43,98d7e38c-fd8b-4a72-8dff-41aba4cc7bc1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|17|18|23|20|15|21|22|14,fast,0.115,0.115
44,b377da93-e42d-40ad-9011-94b8b6b68c68,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|15|21|14|22|18|16|23|20,fast,0.114,0.114
45,694583e2-6f32-4eb2-adf0-3456368400d8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|19|20|21|17|16|15|22|14,fast,0.115,0.115
46,188d21e9-0893-4623-88fc-43034cf61aa6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|17|19|21|22|15|14|20|18|16,fast,0.114,0.114
47,91d5b63a-6cfb-44ba-9ea9-5ddd7236c244,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|17|19|16|22|20|23|15|18,fast,0.113,0.113
48,cd8f358c-bdac-4a77-89ed-ffa8ca08eed2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|19|23|22|17|14|15|21|20|18,fast,0.113,0.113
49,5649e582-197a-4da0-a15f-7d1a9234a373,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|20|18|14|19|15|16|21|22,fast,0.113,0.113
50,aa57b7be-309c-45a0-9210-27e57840a45e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|16|21|18|19|15|23|20|14,fast,0.114,0.114
51,edf9211b-825e-47a3-9348-fa4d7282d67c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|15|16|18|23|20|19|22|21,fast,0.113,0.113
52,bed631b2-0db1-4916-9e88-745f668b1d08,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|15|20|23|18|22|21|17|16,fast,0.113,0.113
53,e5efb8c6-808f-4000-a1a5-c7aaf68ffc8c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|23|14|22|15|18|20|21|17,fast,0.113,0.113
54,9b4b432f-bde1-4878-8ee0-82285c5690ba,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|17|16|22|21|18|23|14|19,fast,0.114,0.114
55,5440ad5f-9456-4d57-b721-37c8f4022778,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|14|22|15|17|16|18|19|23,fast,0.114,0.114
56,b787cb4e-510f-40ce-b0d8-ba09411f533f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|15|14|23|20|17|18|22|16,fast,0.115,0.115
57,dfe4cb6a-520d-4b1d-819e-0cebc9b9fe04,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|18|17|21|22|20|19|16|14,fast,0.114,0.114
58,c35974f9-850f-438e-87bd-67abec43aafb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|21|23|16|20|17|14|15|18,fast,0.113,0.113
59,848ef964-cf0f-4984-8b48-096c26911482,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|21|17|19|20|16|23|18|14,fast,0.114,0.114
60,d249460a-9b8f-4d35-8a9a-5e357b3aa01a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|17|14|18|20|19|21|23|16,fast,0.114,0.114
61,5a0c1cb6-5891-414e-a372-98e239385018,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|17|21|14|20|22|19|16|15|23,fast,0.114,0.114
62,5aab9db9-0565-4023-a5e8-45cc547a085d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|18|23|14|16|21|22|17|15|19,fast,0.115,0.115
63,3e006cdb-04ae-4c3d-b7d0-2f246b672d1f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|21|23|15|22|20|16|17|18,fast,0.116,0.116
64,1b55ca77-17e8-45d5-9b85-bc371505a83f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|17|19|14|16|18|23|22|20,fast,0.116,0.116
65,b4246522-893c-4cc6-9faa-a2f715a69506,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|18|14|19|17|20|16|21|22,fast,0.114,0.114
66,8096f4a9-fa8f-4c50-a5b9-aa5e79442cd0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|17|18|20|16|22|14|23|21,fast,0.115,0.115
67,c0bb679e-6332-4114-8bf6-6c83ef81eec3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|21|16|18|23|22|17|14|19,fast,0.113,0.113
68,f458a8de-2d62-4c80-a5ae-e6560d1727f7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|17|19|15|21|18|22|20|14,fast,0.113,0.113
69,4e007995-0eb3-4338-b94c-4b95187c5fac,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|22|20|17|16|14|21|15|19,fast,0.114,0.114
70,bb8c7695-1087-4876-832c-4b3900c74ef0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|18|23|15|16|19|14|17|21,fast,0.112,0.112
71,e6e386b0-a9d4-4a73-b486-85b388c60e10,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|22|16|17|19|14|18|15|20,fast,0.114,0.114
72,06196d0e-fe22-4104-aa3f-03b680f99249,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|20|22|23|19|15|16|17|21,fast,0.113,0.113
73,4d6c548a-8d4c-4f68-9a38-5aafaea0afa5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|14|17|23|18|16|15|22|21,fast,0.114,0.114
