,ID,Phase,Mode,Runtime,Elapsed_Time
29,97e45bd0-2393-4222-8fd9-cc1073cc8dbd,0|1|2|3|4|5|6|7|8|9|10|11|12|16|24|17|19|23|14|25|15|18|20|13|21|22,fast,0.153,0.153
30,8193654e-11b4-41e8-bd35-0a7eaa1900b6,0|1|2|3|4|5|6|7|8|9|10|11|12|25|15|19|24|20|23|13|21|14|17|18|22|16,fast,0.153,0.153
31,afee65f5-e0ba-4538-acb6-e5ace482c165,0|1|2|3|4|5|6|7|8|9|10|11|12|14|25|23|17|16|13|18|21|24|15|20|19|22,fast,0.153,0.153
32,e9e33239-2c36-4c80-bc14-93d2f6e50cb5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|20|18|21|23|16|25|24|14|15|17,fast,0.152,0.152
33,551a7f24-8d8b-4deb-ae58-dfe4c97ef2de,0|1|2|3|4|5|6|7|8|9|10|11|12|21|19|25|13|23|24|22|14|16|20|17|18|15,fast,0.152,0.152
34,d68e19c9-ec4f-4e4f-b855-d11f91d97f73,0|1|2|3|4|5|6|7|8|9|10|11|12|15|22|20|25|18|19|17|21|14|24|13|23|16,fast,0.153,0.153
35,c53ab1da-3796-4b0a-81e6-00cf95bb9a86,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|19|18|14|23|16|21|22|13|24|25|20,fast,0.153,0.153
36,dfe5a62f-fa17-4284-a749-2db558734573,0|1|2|3|4|5|6|7|8|9|10|11|12|19|13|24|21|15|23|16|20|14|17|22|18|25,fast,0.154,0.154
37,15ca9232-89d8-4837-8526-b886c25013a8,0|1|2|3|4|5|6|7|8|9|10|11|12|25|16|14|22|24|13|21|18|20|15|17|19|23,fast,0.152,0.152
38,324f63a6-2b50-4d5d-a4ac-cad71bba4196,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|25|13|20|22|17|24|14|18|16|23|19,fast,0.153,0.153
39,a668df44-fe8c-44a0-b051-6b1fcb9fde8f,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|21|13|23|24|18|22|14|20|16|17|25,fast,0.153,0.153
40,ef836975-8f97-462e-907e-c8f3763e2607,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|24|25|20|23|22|16|19|17|18|15,fast,0.154,0.154
41,47c65a36-4f61-4bb1-baf0-540c8cfdbcbf,0|1|2|3|4|5|6|7|8|9|10|11|12|17|19|14|18|15|20|21|13|23|16|25|22|24,fast,0.153,0.153
42,77b833cb-e766-451c-8141-db21a46e7f90,0|1|2|3|4|5|6|7|8|9|10|11|12|20|21|25|14|19|17|13|23|18|16|24|22|15,fast,0.153,0.153
