,ID,Phase,Mode,Runtime,Elapsed_Time
31,e51fd48e-effb-4fac-8d63-50e996a1f089,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|19|18|23|15|16|14|21|22|,fast,0.145,0.145
32,67b37427-6ec7-4360-9001-39a6c1cbf3dc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|23|18|19|17|14|15|21|22|,fast,0.146,0.146
33,1fa6d197-7b55-445e-9e02-4633f6ec41b8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|23|16|21|22|18|19|14|15|,fast,0.144,0.144
34,61dbc4d6-7864-4e6f-aaae-149f639e644b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|20|18|17|14|21|22|23|16|,fast,0.146,0.146
35,9dacd629-6a4a-43d1-8ac3-6a5bc0bc51da,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|21|17|18|20|19|14|22|16|23|,fast,0.146,0.146
36,1d848743-dc44-4131-b3b6-33c55db380a9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|23|21|14|18|17|22|15|20|16|,fast,0.149,0.149
37,ed5edc69-7987-4f67-ae8e-d667d0fad448,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|21|14|17|19|18|16|23|22|,fast,0.148,0.148
38,0c0d1dcb-7d1c-4338-ba59-98ff2e1b7556,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|18|14|17|15|19|20|22|21|,fast,0.147,0.147
39,14166592-9d84-4556-9806-fa88b5782f5c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|19|21|14|20|17|18|23|15|,fast,0.147,0.147
40,afafbdb1-c826-4b39-aade-413cc7797f51,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|15|17|23|18|22|16|19|21|,fast,0.148,0.148
41,e824fe63-7cfd-43b9-a59b-5436db7a58dd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|23|22|20|21|14|17|16|15|,fast,0.148,0.148
42,176fdc4f-d764-41df-8fac-4e15f771de74,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|21|17|14|19|16|23|20|15|,fast,0.146,0.146
43,cd91189d-310a-4079-bd64-577274286761,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|19|23|22|21|15|20|18|16|17|,fast,0.148,0.148
44,163cb26e-3bff-4f16-ac14-a118be746949,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|15|14|16|20|21|22|17|18|,fast,0.146,0.146
45,0ecc256b-fb5b-4b82-a8ca-072826b59380,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|19|20|15|23|22|21|17|,fast,0.147,0.147
46,1389968d-8dcf-4d98-bf21-e277388a7491,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|20|21|22|17|18|23|14|19|,fast,0.146,0.146
47,6fc93d1a-78f9-47bb-ab33-5256e3a06390,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|18|20|22|19|23|16|17|15|,fast,0.148,0.148
48,efd99b91-1059-496a-8014-dde4f5bf2366,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|14|16|20|21|19|18|22|15|,fast,0.145,0.145
49,ed045101-1db3-4de5-8656-9f7894c76c40,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|16|14|15|19|22|23|18|21|20|,fast,0.146,0.146
