,ID,Phase,Mode,Runtime,Elapsed_Time
30,682ad386-c6ae-44a6-a04d-b85cbf95d495,0|1|2|3|4|5|6|7|8|9|10|11|12|18|22|25|20|14|15|19|16|13|17|21|23|24,fast,0.279,0.279
31,bc037cfc-cb3d-43d5-84e1-e400e38560df,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|25|17|18|22|20|15|21|16|23|24|19,fast,0.27,0.27
32,04259602-8bad-46e3-8356-96353f0b8057,0|1|2|3|4|5|6|7|8|9|10|11|12|14|18|19|22|17|15|23|21|20|24|13|16|25,fast,0.283,0.283
33,bc902e63-be54-42d2-8da1-e5d0726eb276,0|1|2|3|4|5|6|7|8|9|10|11|12|20|24|23|19|13|25|18|22|17|21|14|16|15,fast,0.282,0.282
34,26b1ccae-ec39-443f-84ae-5332ad243d5b,0|1|2|3|4|5|6|7|8|9|10|11|12|21|15|16|17|24|22|20|23|18|14|19|13|25,fast,0.234,0.234
35,e4439f85-ec0b-4abb-a235-5c2be84f4bcd,0|1|2|3|4|5|6|7|8|9|10|11|12|18|19|20|25|13|22|21|14|17|16|24|23|15,fast,0.254,0.254
36,1b6e4787-82ca-40db-bd05-bb6d52ba8d35,0|1|2|3|4|5|6|7|8|9|10|11|12|17|23|21|15|20|16|25|14|22|19|18|13|24,fast,0.271,0.271
37,8e062b21-7558-41d8-8d69-2d422b6ebc5d,0|1|2|3|4|5|6|7|8|9|10|11|12|16|15|13|23|18|25|22|14|20|17|21|24|19,fast,0.264,0.264
38,f57235af-5275-4f72-8471-aa85320b8425,0|1|2|3|4|5|6|7|8|9|10|11|12|18|17|21|22|19|25|15|23|20|16|24|13|14,fast,0.242,0.242
39,b9454f1f-abe2-4608-930d-e82d822d9ace,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|16|24|22|17|23|25|14|18|21|13|15,fast,0.279,0.279
40,e8353937-24ba-4045-8bc4-d96528deba32,0|1|2|3|4|5|6|7|8|9|10|11|12|15|13|22|18|25|17|23|14|24|20|19|21|16,fast,0.282,0.282
