,ID,Phase,Mode,Runtime,Elapsed_Time
31,3f8ae042-df6b-482b-a053-286181c1d888,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|23|19|15|17|22|21|20|14,fast,0.125,0.125
32,670980ee-41d8-4499-84c5-7b310872c4ae,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|17|21|15|23|20|16|14|22,fast,0.126,0.126
33,340fffe4-add9-485f-8ef7-18d15124e710,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|22|17|14|20|16|15|23|21,fast,0.125,0.125
34,2b1c3898-9c30-41b7-8af1-9a37d9d1f7c0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|17|16|18|23|14|15|22|20,fast,0.125,0.125
35,e12f3b78-21e6-4437-bd76-9ae214658252,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|18|14|16|15|21|17|22|23,fast,0.126,0.126
36,84074b6c-b7ef-48f4-8511-698a3351ee71,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|17|15|16|21|22|19|18|23,fast,0.125,0.125
37,65f46632-5e3d-4fe7-87a8-ee0ea223d664,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|22|17|19|16|20|23|18|15,fast,0.125,0.125
38,caa6bbcb-caf2-4951-a1e9-47dfd5b8d8d2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|17|22|16|15|18|19|20|23,fast,0.126,0.126
39,fd6a675b-6123-4bcd-8f46-0049113f73bb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|16|19|18|14|21|20|15|17,fast,0.126,0.126
40,2d2040d8-102f-4471-ac7d-9d8fb2aabfd8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|14|15|18|19|22|20|17|16,fast,0.125,0.125
41,1e5f54d9-d386-4526-bc6d-d8a74db63688,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|19|23|17|18|15|21|20|16,fast,0.125,0.125
42,d19fd1e2-0f4a-4031-b878-c907ec85dc26,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|22|21|15|19|16|23|20|18,fast,0.125,0.125
43,c9b2ebc0-2fc3-47f9-be47-22b8193eca37,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|16|20|22|23|14|17|21|19,fast,0.126,0.126
44,a36a8497-bde1-42a1-8e3d-4ff6cd471dd4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|21|23|17|19|18|15|22|14,fast,0.126,0.126
45,a83ce579-8897-44a5-8f2b-7f16e0490550,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|21|14|18|16|23|20|17|15,fast,0.125,0.125
46,53e9e403-87ed-40ed-b21d-94a57f16d33b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|20|22|23|21|15|14|17|16,fast,0.128,0.128
47,3b77cc06-6582-4e59-a55a-38289adc1903,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|14|18|23|17|16|19|20|15,fast,0.128,0.128
48,b86caa6b-0b0f-42cb-a904-e1e20b09409a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|17|21|18|14|16|15|22|23,fast,0.125,0.125
49,f73fc88c-7ab3-42bf-88ad-0019903f9f8b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|21|16|22|14|18|20|19|17,fast,0.125,0.125
50,960d6d9e-9e98-4da5-a659-079f3b1ecf07,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|21|14|19|16|22|15|18|17|20,fast,0.125,0.125
51,c9783301-6f07-4afe-860d-6c1b97597ec5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|18|16|15|23|17|22|19|21,fast,0.124,0.124
52,32897f7f-6632-43b3-9dd1-1c2996b4b337,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|16|20|23|22|17|19|21|14,fast,0.125,0.125
53,6ca78b71-8969-4a28-ad7a-a2aa66cdebcc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|23|21|19|14|22|15|20|17,fast,0.125,0.125
