,ID,Phase,Mode,Runtime,Elapsed_Time
124,f05b09a8-cce2-45d6-b532-c926fa44f09f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|22|23|17|21|16|14|18|19|,fast,0.638,0.638
125,e5e11043-35c9-48a4-8fe7-eac8f3b81bde,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|21|23|19|15|17|18|16|22|,fast,0.64,0.64
126,853a2b7f-1b7c-4010-90fe-8998225b18d6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|21|22|16|17|20|18|23|19|,fast,0.626,0.626
127,8b11f7a2-239d-427f-bc93-d414c31a0973,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|14|16|23|20|22|18|19|21|,fast,0.618,0.618
128,31f35c3e-e279-4933-abe4-474fe6124036,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|22|16|20|21|17|18|15|14|,fast,0.626,0.626
129,31f4c5f0-0fa5-4077-830b-df25a434649e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|22|18|23|20|19|17|14|16|,fast,0.617,0.617
130,48af36b9-2306-415b-94b9-38f223157bcc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|19|18|22|21|16|23|20|17|,fast,0.619,0.619
131,e7f2313b-5582-4c5c-bce1-053b70f1cbde,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|21|22|23|14|16|15|19|18|,fast,0.623,0.623
132,3f0606ef-583e-4d8a-ae7a-97e0a6892a39,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|14|19|21|20|22|15|16|18|17|,fast,0.618,0.618
133,3763b872-15a8-4b06-947e-07789d68c79e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|22|16|17|14|21|15|23|18|,fast,0.623,0.623
134,04674515-d837-427d-b734-5abf3e10e06d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|22|15|18|17|16|14|19|23|21|,fast,0.621,0.621
135,15dcbbd8-cb37-461d-9c27-e8768fe741ba,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|15|21|18|19|17|16|23|22|,fast,0.621,0.621
136,4eee0d3e-6f0f-45f4-887f-3a15c5713156,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|19|18|17|15|22|20|21|14|,fast,0.626,0.626
137,69d433c6-65d9-48cb-9c61-8d2d4005743f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|20|22|15|17|21|23|18|19|,fast,0.621,0.621
138,ea1249ce-e76e-457a-8c03-b45dbc61ead3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|20|14|19|15|23|17|16|22|,fast,0.623,0.623
139,d32a0043-2522-4d82-98ff-c0ce8b1a3200,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|16|15|17|22|23|18|14|21|,fast,0.62,0.62
140,229d9b60-d268-4cf1-a9a8-f5d4103e7cb4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|14|23|19|18|21|17|20|22|,fast,0.618,0.618
141,7c5940ea-7234-4632-809d-957074bf8a33,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|18|23|16|17|22|14|21|20|,fast,0.619,0.619
142,55512d53-569a-4f9e-958d-b4de342c113c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|15|14|21|19|17|16|18|22|,fast,0.618,0.618
143,50afa371-d335-4a6c-820f-5de742df12d6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|21|14|17|18|15|16|23|20|,fast,0.618,0.618
144,9733874d-0941-4889-9446-257789ceaca3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|17|21|19|16|15|14|23|20|,fast,0.617,0.617
145,b133e65d-ef0e-430c-8b10-2acf8eaaff73,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|17|14|20|23|15|16|18|19|,fast,0.615,0.615
146,7e3f838b-2402-4811-a004-3ca8f95a711a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|17|20|15|14|16|21|19|22|,fast,0.616,0.616
147,70be63f0-2bb2-4839-b663-1fe9c55eeffa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|16|20|15|23|19|17|18|14|,fast,0.614,0.614
148,450fcadf-e1a5-4813-bb5a-85f6bc9b64ed,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|15|22|19|23|18|20|14|21|17|,fast,0.615,0.615
149,47f185bc-67f5-49d7-921a-eb03e75b8820,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|14|15|16|18|21|23|17|20|,fast,0.618,0.618
150,9e8bd3b1-f7a6-4013-a453-7add170cccf5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|22|14|19|21|17|20|16|23|,fast,0.615,0.615
151,4d566caf-636e-4e16-8b88-155194ba62fa,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|17|18|21|15|16|22|14|23|20|,fast,0.619,0.619
152,4c7bdeb5-a233-4b43-b205-40c72dcb77bc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|21|23|17|20|19|22|18|16|,fast,0.61,0.61
153,b795ec2d-e97d-49d3-aabb-2c86ab55b066,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|21|16|15|20|23|18|19|14|,fast,0.614,0.614
154,eb2408e1-47af-4550-9e33-ed5f00d94ab5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|19|23|14|18|17|16|22|21|,fast,0.617,0.617
155,a53dbaaa-0bd2-4881-a707-894e0db969fc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|16|23|21|20|22|19|14|15|,fast,0.617,0.617
156,254a62b9-dc3a-423f-aa59-1caab801ca59,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|15|17|16|22|19|20|21|14|,fast,0.617,0.617
157,a4f83f3b-5b39-4ec6-8bf5-08c3c8f73f6d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|18|21|19|20|22|17|23|14|,fast,0.617,0.617
158,8c130a51-d726-4094-9225-525e0bcd7880,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|15|17|21|23|20|19|14|18|,fast,0.621,0.621
159,893bd292-2817-446e-97a1-46de2c267919,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|22|18|14|15|17|21|23|16|,fast,0.623,0.623
160,78bc19a6-de31-40a1-abb8-d103ed94d6e0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|17|21|18|23|16|22|20|15|,fast,0.615,0.615
161,1351e4b1-a34d-4aff-90aa-6a9771cf21ea,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|19|16|22|18|17|20|15|14|,fast,0.62,0.62
162,0b91f4b7-ca14-40f4-a07a-d8684efe1c30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|20|18|22|23|15|16|17|14|,fast,0.611,0.611
163,22545c19-8ff5-4df0-ac22-98c15998cd97,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|15|23|16|18|22|21|17|14|,fast,0.62,0.62
164,4c8990ec-f735-4d33-868e-45596ef4dbf7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|20|21|14|15|17|19|18|23|16|,fast,0.618,0.618
165,151fcf60-ac70-45e6-a596-a9c0973156dd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|14|15|20|18|16|21|22|17|23|,fast,0.618,0.618
166,1302d8b1-d41a-4094-a813-72e289b94008,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|14|23|22|16|19|18|20|15|,fast,0.631,0.631
